=======Arguments=======
example:	ex1
penalty:	False
element_type:	P2
solver_type:	mgcg
tol:	1e-08
intorder:	5
refine_time:	6
epsilon_range:	6
sigma:	5
save_path:	log/ex1_P2_nopen_2021-02-22_21-52-49
=======Results=======
epsilon = 1
  h    L2u   H1u   H2u   epu
2^-2  1.82  1.71  1.03  0.98
2^-2  9.592e-02  4.621e-01  7.245e+00  6.793e+00
2^-3  1.73  1.74  0.94  0.90
2^-3  2.891e-02  1.386e-01  3.780e+00  3.643e+00
2^-4  1.90  1.88  0.99  0.97
2^-4  7.769e-03  3.771e-02  1.902e+00  1.865e+00
2^-5  1.97  1.96  1.00  0.99
2^-5  1.988e-03  9.723e-03  9.488e-01  9.391e-01
2^-6  1.99  1.99  1.00  1.00
2^-6  5.002e-04  2.452e-03  4.729e-01  4.705e-01
epsilon = 0.1
  h    L2u   H1u   H2u   epu
2^-2  1.65  1.63  0.99  1.11
2^-2  5.163e-02  3.285e-01  6.546e+00  6.806e-01
2^-3  1.40  1.59  0.87  0.93
2^-3  1.959e-02  1.091e-01  3.580e+00  3.584e-01
2^-4  1.77  1.78  0.94  0.95
2^-4  5.745e-03  3.167e-02  1.866e+00  1.852e-01
2^-5  1.93  1.92  0.98  0.98
2^-5  1.508e-03  8.371e-03  9.432e-01  9.373e-02
2^-6  1.98  1.98  1.00  1.00
2^-6  3.821e-04  2.127e-03  4.720e-01  4.702e-02
epsilon = 0.01
  h    L2u   H1u   H2u   epu
2^-2  2.83  1.88  0.93  1.75
2^-2  1.776e-02  2.696e-01  6.736e+00  2.600e-01
2^-3  2.62  1.99  0.91  1.81
2^-3  2.892e-03  6.799e-02  3.574e+00  7.394e-02
2^-4  1.11  2.04  1.08  1.71
2^-4  1.342e-03  1.653e-02  1.691e+00  2.261e-02
2^-5  0.92  1.72  1.05  1.30
2^-5  7.103e-04  5.002e-03  8.185e-01  9.198e-03
2^-6  1.47  1.60  0.90  1.00
2^-6  2.570e-04  1.654e-03  4.401e-01  4.601e-03
epsilon = 0.001
  h    L2u   H1u   H2u   epu
2^-2  2.86  1.87  0.91  1.77
2^-2  1.735e-02  2.717e-01  6.794e+00  2.544e-01
2^-3  3.06  1.92  0.86  1.87
2^-3  2.086e-03  7.177e-02  3.756e+00  6.978e-02
2^-4  3.33  1.94  0.93  1.91
2^-4  2.071e-04  1.868e-02  1.966e+00  1.858e-02
2^-5  2.79  1.99  0.99  1.96
2^-5  2.992e-05  4.687e-03  9.896e-01  4.760e-03
2^-6  0.74  2.05  1.04  1.97
2^-6  1.792e-05  1.133e-03  4.805e-01  1.214e-03
epsilon = 0.0001
  h    L2u   H1u   H2u   epu
2^-2  2.86  1.87  0.91  1.77
2^-2  1.735e-02  2.717e-01  6.795e+00  2.544e-01
2^-3  3.06  1.92  0.85  1.87
2^-3  2.082e-03  7.183e-02  3.758e+00  6.975e-02
2^-4  3.36  1.94  0.93  1.91
2^-4  2.020e-04  1.875e-02  1.972e+00  1.855e-02
2^-5  3.28  1.98  0.98  1.97
2^-5  2.085e-05  4.761e-03  1.002e+00  4.741e-03
2^-6  3.12  1.99  0.99  1.99
2^-6  2.406e-06  1.195e-03  5.030e-01  1.193e-03
epsilon = 1e-05
  h    L2u   H1u   H2u   epu
2^-2  2.86  1.87  0.91  1.77
2^-2  1.735e-02  2.717e-01  6.795e+00  2.544e-01
2^-3  3.06  1.92  0.85  1.87
2^-3  2.082e-03  7.183e-02  3.758e+00  6.975e-02
2^-4  3.37  1.94  0.93  1.91
2^-4  2.020e-04  1.875e-02  1.972e+00  1.855e-02
2^-5  3.28  1.98  0.98  1.97
2^-5  2.082e-05  4.762e-03  1.002e+00  4.741e-03
2^-6  3.13  1.99  0.99  1.99
2^-6  2.382e-06  1.196e-03  5.032e-01  1.193e-03
======= Errors saved in: log/ex1_P2_nopen_2021-02-22_21-52-49.csv ==========
Total Time Cost 12.39 s
