=======Arguments=======
penalty:	False
element_type:	P1
solver_type:	mgcg
tol:	1e-10
intorder:	8
refine_time:	8
sigma:	5
=======Results=======
epsilion: 1
  h    L2u   H1u   H2u   epu
2^-2  1.68  1.29  0.62  0.55
2^-2  5.542e-03  3.168e-02  4.029e-01  3.721e-01
2^-3  1.67  1.42  0.66  0.61
2^-3  1.746e-03  1.186e-02  2.550e-01  2.434e-01
2^-4  1.64  1.49  0.67  0.64
2^-4  5.610e-04  4.233e-03  1.605e-01  1.563e-01
2^-5  1.59  1.50  0.67  0.65
2^-5  1.865e-04  1.495e-03  1.010e-01  9.956e-02
2^-6  1.52  1.50  0.67  0.66
2^-6  6.487e-05  5.299e-04  6.367e-02  6.314e-02
2^-7  1.46  1.48  0.67  0.66
2^-7  2.366e-05  1.897e-04  4.013e-02  3.994e-02
2^-8  1.40  1.47  0.67  0.66
2^-8  8.962e-06  6.847e-05  2.529e-02  2.523e-02
epsilion: 1e-05
  h    L2u   H1u   H2u   epu
2^-2  2.37  1.57  0.58  1.45
2^-2  3.948e-03  4.124e-02  6.430e-01  3.729e-02
2^-3  2.46  1.56  0.57  1.49
2^-3  7.152e-04  1.396e-02  4.338e-01  1.325e-02
2^-4  2.45  1.54  0.56  1.51
2^-4  1.308e-04  4.788e-03  2.947e-01  4.658e-03
2^-5  2.39  1.53  0.55  1.51
2^-5  2.496e-05  1.657e-03  2.014e-01  1.632e-03
2^-6  2.30  1.52  0.54  1.51
2^-6  5.086e-06  5.764e-04  1.382e-01  5.714e-04
2^-7  2.19  1.52  0.54  1.51
2^-7  1.112e-06  2.013e-04  9.531e-02  2.002e-04
2^-8  2.11  1.51  0.53  1.51
2^-8  2.573e-07  7.047e-05  6.598e-02  7.022e-05
======= Errors saved in: log/ex4_P1_nopen_2021-02-22_09-34-35.csv ==========
Total Time Cost 1380.84 s
